dashes,andsign,dolar,orsign,lessthan,greaterthan,exclamation,badwords,class
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,2,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,1,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,0,2,2,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,0,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,2,2,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,2,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,0,0,0,0,0,1,bad
0,1,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,1,0,0,0,2,bad
0,1,2,0,0,0,0,2,bad
0,0,4,2,0,0,0,2,bad
0,0,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,1,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,1,4,0,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,1,0,0,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,0,0,0,0,2,bad
0,0,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,4,2,0,0,0,2,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,2,0,0,0,2,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,1,5,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,0,2,1,0,0,0,2,bad
0,0,4,1,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,0,0,0,0,2,bad
0,0,2,1,0,0,0,2,bad
0,1,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,2,0,0,0,2,bad
0,0,2,2,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,1,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,0,0,0,0,2,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,0,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,2,0,0,0,2,bad
0,0,2,2,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,4,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,2,2,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,1,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,1,0,0,0,2,bad
0,0,3,0,0,0,0,3,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,0,0,0,0,2,bad
0,0,4,2,0,0,0,2,bad
0,0,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,4,3,1,0,0,0,3,bad
0,0,0,0,0,0,0,1,bad
0,0,2,2,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,3,1,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,1,0,0,0,2,bad
0,0,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,3,1,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,1,2,0,0,0,0,2,bad
0,0,1,5,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,1,5,0,0,0,2,bad
0,0,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,2,0,0,0,0,2,bad
0,0,4,0,0,0,0,2,bad
0,0,2,1,0,0,0,2,bad
0,0,4,1,0,0,0,2,bad
0,0,3,0,0,0,0,3,bad
0,0,0,0,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,1,0,0,0,2,bad
0,1,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,2,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,4,3,1,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,4,3,1,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,1,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,2,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,0,0,0,0,0,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,0,0,0,0,2,bad
0,0,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,4,1,0,0,0,2,bad
0,0,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,0,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,1,2,0,0,0,0,2,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,1,0,0,0,2,bad
0,0,3,1,0,0,0,3,bad
0,0,2,2,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,0,2,2,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,4,0,0,0,0,2,bad
0,1,4,1,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,1,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,0,0,0,0,0,bad
0,4,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,3,1,0,0,0,3,bad
0,0,4,0,0,0,0,2,bad
0,1,4,0,0,0,0,2,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,0,2,2,0,0,0,2,bad
0,0,4,1,0,0,0,2,bad
0,1,2,0,0,0,0,2,bad
0,0,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,4,1,0,0,0,2,bad
0,0,4,1,0,0,0,2,bad
0,1,4,0,0,0,0,2,bad
0,0,1,5,0,0,0,2,bad
0,0,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,0,0,0,0,1,bad
0,0,4,2,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,1,4,0,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,4,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,0,1,5,0,0,0,2,bad
0,0,3,0,0,0,0,3,bad
0,1,4,0,0,0,0,2,bad
0,4,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,1,4,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,0,4,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,0,0,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,2,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,0,0,0,0,0,0,1,bad
0,0,1,5,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,2,0,0,0,0,2,bad
0,0,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,2,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,2,bad
0,1,2,0,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,4,3,0,0,0,0,3,bad
0,1,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,1,5,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,1,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,2,2,0,0,0,2,bad
0,0,1,5,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,3,bad
0,4,3,0,0,0,0,3,bad
0,0,0,2,0,0,0,2,bad
0,0,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,1,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,2,bad
0,0,3,0,0,0,0,3,bad
0,0,2,0,0,0,0,2,bad
0,4,3,0,0,0,0,3,bad
0,1,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,1,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,3,1,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,0,0,0,0,2,bad
0,0,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,2,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,0,3,0,0,0,0,3,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,0,0,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,1,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,4,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,1,4,0,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,3,0,0,0,2,bad
0,4,3,1,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,2,0,0,0,0,2,bad
0,0,1,6,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,1,5,0,0,0,2,bad
0,0,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,4,3,0,0,0,0,3,bad
0,0,2,1,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,1,5,0,0,0,2,bad
0,0,3,0,0,0,0,3,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,1,0,0,0,2,bad
0,1,2,0,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,3,0,0,0,0,3,bad
0,0,2,0,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,1,0,0,0,0,0,4,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,3,bad
0,0,4,0,0,0,0,2,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,1,0,0,0,0,0,1,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,0,0,0,0,1,bad
0,0,0,0,0,0,0,1,bad
0,0,0,0,0,0,0,2,bad
0,4,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,4,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,3,1,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,2,3,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,1,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,0,0,0,0,0,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,4,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,1,0,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,1,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,1,5,0,0,0,2,bad
0,0,4,1,0,0,0,2,bad
0,0,4,2,0,0,0,2,bad
0,0,1,6,0,0,0,2,bad
0,0,2,2,0,0,0,2,bad
0,4,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,2,1,0,0,0,2,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,0,0,0,0,0,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,1,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,2,0,0,0,2,bad
0,0,0,0,0,0,0,1,bad
0,0,1,5,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,1,0,0,0,2,bad
0,0,2,1,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,1,2,0,0,0,0,2,bad
0,0,4,2,0,0,0,2,bad
0,0,4,0,0,0,0,2,bad
0,0,4,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,3,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,4,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,2,1,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,4,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,1,0,0,0,0,0,4,bad
0,0,4,2,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,4,3,0,0,0,0,3,bad
0,0,1,5,0,0,0,2,bad
0,0,4,0,0,0,0,2,bad
0,0,2,1,0,0,0,2,bad
0,0,3,0,0,0,0,3,bad
0,0,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,1,0,0,0,2,bad
0,0,4,1,0,0,0,2,bad
0,4,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,2,bad
0,0,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,4,1,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,1,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,0,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,3,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,4,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,1,4,1,0,0,0,2,bad
0,0,4,1,0,0,0,2,bad
0,0,0,0,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,1,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,2,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,1,4,0,0,0,0,2,bad
0,0,3,0,0,0,0,3,bad
0,0,4,2,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,4,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,1,2,0,0,0,0,2,bad
0,0,4,2,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,4,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,3,1,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,1,4,0,0,0,0,2,bad
0,4,3,0,0,0,0,3,bad
0,0,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,1,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,2,2,0,0,0,2,bad
0,0,3,0,0,0,0,3,bad
0,0,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,0,4,1,0,0,0,2,bad
0,1,4,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,1,5,0,0,0,2,bad
0,0,2,1,0,0,0,2,bad
0,1,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,4,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,4,0,0,0,0,2,bad
0,0,4,0,0,0,0,2,bad
0,0,4,0,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,0,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,2,1,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,2,0,0,0,0,2,bad
0,0,4,0,0,0,0,2,bad
0,0,1,5,0,0,0,2,bad
0,0,2,2,0,0,0,2,bad
0,0,1,5,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
0,0,3,0,0,0,0,3,bad
0,0,0,1,0,0,0,1,bad
0,0,0,1,0,0,0,1,bad
0,0,0,0,0,0,0,2,bad
0,1,2,0,0,0,0,2,bad
0,0,0,1,0,0,0,1,bad
